Address,BlockNumber,StreetName,Lon,Lat
400 4ST ST NE Charlottesville VA,400,4ST ST NE,-78.47817649999999,38.032316
100 W JEFFERSON ST Charlottesville VA,100,W JEFFERSON ST,-78.4808225784424,38.032779528000724
200 HUNTLEY AVE Charlottesville VA,200,HUNTLEY AVE,-78.51849164714113,38.021588050418046
1500 6TH SE Charlottesville VA,1500,6TH SE,-78.484973,38.018686
700 GRAVES ST Charlottesville VA,700,GRAVES ST,-78.47712288091309,38.02739079988386
1100 HOLMES AVE Charlottesville VA,1100,HOLMES AVE,-78.4626722,38.0447534
100 OLD FIFTH CIRCLE Charlottesville VA,100,OLD FIFTH CIRCLE,-78.5005644,38.0148203
0 N EMMET ST Charlottesville VA,0,N EMMET ST,-78.4932039,38.0615669
1600 MELBOURNE RD Charlottesville VA,1600,MELBOURNE RD,-78.47269469999999,38.0554882
400 PAYTON ST Charlottesville VA,400,PAYTON ST,-78.5023806,38.0278585
200 7TH ST NE Charlottesville VA,200,7TH ST NE,-78.47647151278484,38.030307951224295
200 CHANCELLOR ST Charlottesville VA,200,CHANCELLOR ST,-78.5009291,38.0387504
300 MONTICELLO RD Charlottesville VA,300,MONTICELLO RD,-78.47709635525645,38.02684409108769
700 WALNUT ST Charlottesville VA,700,WALNUT ST,-78.47235184974392,38.02501571300101
700 PAGE ST Charlottesville VA,700,PAGE ST,-78.4892728,38.0338075
1100 WERTLANDL ST Charlottesville VA,1100,WERTLANDL ST,-78.4957424,38.0340841
200 HARTSMAN MILL RD Charlottesville VA,200,HARTSMAN MILL RD,-78.4884137,38.0197011
100 APPLETREE RD Charlottesville VA,100,APPLETREE RD,-78.51921834217063,38.02566877045392
400 E WATER ST Charlottesville VA,400,E WATER ST,-78.47933319810394,38.02980032687645
700 PINE ST Charlottesville VA,700,PINE ST,-78.4957273610443,38.026672728008066
800 CYNTHIANNA AVE Charlottesville VA,800,CYNTHIANNA AVE,-78.48406279767153,38.03999342197818
100 AVON ST Charlottesville VA,100,AVON ST,-78.47522985656602,38.0283990232361
NA W WATER ST Charlottesville VA,NA,W WATER ST,-78.4818798,38.0300395
400 E MARKET ST Charlottesville VA,400,E MARKET ST,-78.47926737752618,38.030893834192725
700 LOCUST AVE Charlottesville VA,700,LOCUST AVE,-78.46920351737772,38.03405499879743
600 LYONS AVE Charlottesville VA,600,LYONS AVE,-78.47308389999999,38.0396762
100 MADISON N Charlottesville VA,100,MADISON N,-78.5023953,38.0364048
900 MONTICELLO AVE Charlottesville VA,900,MONTICELLO AVE,-78.47623691633873,38.02254226132153
400 4TH ST SW Charlottesville VA,400,4TH ST SW,-78.4875405,38.0284883
700 NELSON ST Charlottesville VA,700,NELSON ST,-78.4772325,38.0370823
1200 LANDONIA CIR Charlottesville VA,1200,LANDONIA CIR,-78.46200728418466,38.0365979868882
300 EMMET ST S Charlottesville VA,300,EMMET ST S,-78.50765419999999,38.0369611
100 EMMET ST S Charlottesville VA,100,EMMET ST S,-78.5065094696067,38.0399666633665
200 10TH ST NE Charlottesville VA,200,10TH ST NE,-78.47347599999999,38.0288803
100 7TH ST SW Charlottesville VA,100,7TH ST SW,-78.4897388,38.0314358
1500 6TH ST Charlottesville VA,1500,6TH ST,-78.484973,38.018686
1300 RUGBY AVE Charlottesville VA,1300,RUGBY AVE,-78.48027381671862,38.044931274477364
1300 POPLAR ST Charlottesville VA,1300,POPLAR ST,-78.46761795134259,38.03308004620365
800 ST CHARLES AVE Charlottesville VA,800,ST CHARLES AVE,-78.46895224923234,38.037743334320204
900 6TH ST SE Charlottesville VA,900,6TH ST SE,-78.4818581,38.0235298
1300 E HIGH ST Charlottesville VA,1300,E HIGH ST,-78.4829005958466,38.033578785256715
500 12TH ST NW Charlottesville VA,500,12TH ST NW,-78.4944171755856,38.03846729953816
200 6TH ST SE Charlottesville VA,200,6TH ST SE,-78.4781114,38.0284742
1900 MICHAEL PL Charlottesville VA,1900,MICHAEL PL,-78.4746523,38.0657316
1200 E HIGH ST Charlottesville VA,1200,E HIGH ST,-78.46632749999999,38.0319093
100 WELK Charlottesville VA,100,WELK,-78.50328139999999,38.0158704
2200 CENTER AVE Charlottesville VA,2200,CENTER AVE,-78.51047033459814,38.0235469646461
200 7TH ST SW Charlottesville VA,200,7TH ST SW,-78.4897850906221,38.03133489383277
600 HINTON AVE Charlottesville VA,600,HINTON AVE,-78.47997498071133,38.026253730165806
900 AVON ST Charlottesville VA,900,AVON ST,-78.4801672,38.0226009
1800 CHELSEA DR Charlottesville VA,1800,CHELSEA DR,-78.5113781,38.0291813
600 E HIGH ST Charlottesville VA,600,E HIGH ST,-78.4769012,38.0319312
200 9TH ST NE Charlottesville VA,200,9TH ST NE,-78.47499230000001,38.02997480000001
100 13TH ST Charlottesville VA,100,13TH ST,-78.4986933395895,38.03292743698932
1100 ALTAVISTA AVE Charlottesville VA,1100,ALTAVISTA AVE,-78.47523323607417,38.01797931280208
0 POPLAR ST Charlottesville VA,0,POPLAR ST,-78.4689017,38.03376590000001
1100 HILLTOPRD Charlottesville VA,1100,HILLTOPRD,-78.49437499999999,38.0488039
500 MONTICELLO RD Charlottesville VA,500,MONTICELLO RD,-78.4751389566195,38.02475500894756
600 250 BYPASS Charlottesville VA,600,250 BYPASS,-78.4706608225561,38.039622889926484
1000 BIRDWOOD RD Charlottesville VA,1000,BIRDWOOD RD,-78.47911674136944,38.04297629315346
1500 CARLTON RD Charlottesville VA,1500,CARLTON RD,-78.47269602529123,38.019992542064365
500 WATER ST Charlottesville VA,500,WATER ST,-78.47919296586997,38.02889186047692
1100 DRUID AVE Charlottesville VA,1100,DRUID AVE,-78.4763741,38.0169031
1100 HILLTOP RD Charlottesville VA,1100,HILLTOP RD,-78.49437499999999,38.0488039
1300 RIVERDALE DR Charlottesville VA,1300,RIVERDALE DR,-78.46142624098941,38.03462286043882
900 HINTON AVE Charlottesville VA,900,HINTON AVE,-78.47546779999999,38.0247508
2000 HESSAIN RD Charlottesville VA,2000,HESSAIN RD,-78.4958721,38.0505561
1100 MILMONT ST Charlottesville VA,1100,MILMONT ST,-78.50518303807567,38.05019453894477
500 HENRY AVE Charlottesville VA,500,HENRY AVE,-78.48270889999999,38.0363791
2700 HARRIS RD Charlottesville VA,2700,HARRIS RD,-78.4770348,38.0409004
NA MONTICELLO RD Charlottesville VA,NA,MONTICELLO RD,-78.4730438,38.0205277
1600 DEL MAR DR Charlottesville VA,1600,DEL MAR DR,-78.48332839999999,38.0499792
1800 MONTICELLO AVE Charlottesville VA,1800,MONTICELLO AVE,-78.47571075075527,38.015795091806645
1500 VILLA TER Charlottesville VA,1500,VILLA TER,-78.5269149,38.007871
300 6TH ST SE Charlottesville VA,300,6TH ST SE,-78.47789201934043,38.027701278441675
400 2ND ST SE Charlottesville VA,400,2ND ST SE,-78.4821884585018,38.02858417192985
300 CHESTNUT ST Charlottesville VA,300,CHESTNUT ST,-78.470702056385,38.02470599011217
500 MEADE AVE Charlottesville VA,500,MEADE AVE,-78.46452947394438,38.0297252071556
2300 TARLETON DR Charlottesville VA,2300,TARLETON DR,-78.46663819999999,38.0645139
2300 SHELBY DR Charlottesville VA,2300,SHELBY DR,-78.49566315009247,38.0633778202814
300 4TH ST NW Charlottesville VA,300,4TH ST NW,-78.48573128281302,38.03214467466958
800 E MAIN ST Charlottesville VA,800,E MAIN ST,-78.47758990000001,38.0295509
700 ELM ST Charlottesville VA,700,ELM ST,-78.49293165171467,38.02762616477281
200 1ST ST S Charlottesville VA,200,1ST ST S,-78.48162435326978,38.03014957219132
900 E MARKET ST Charlottesville VA,900,E MARKET ST,-78.47482352911136,38.029304794249796
600 MASON ST Charlottesville VA,600,MASON ST,-78.46628835488765,38.01925031636641
600 1ST ST S Charlottesville VA,600,1ST ST S,-78.4839571,38.0265667
500 DRUID AVE Charlottesville VA,500,DRUID AVE,-78.4845682880669,38.02094080585785
1100 FOREST AVE Charlottesville VA,1100,FOREST AVE,-78.4985489,38.025348
800 ROSE HILL DR Charlottesville VA,800,ROSE HILL DR,-78.48686312435466,38.03837504511845
1300 JEFFERSON PARK AVE Charlottesville VA,1300,JEFFERSON PARK AVE,-78.49949829109147,38.03214028471183
100 PIEDMONT AVE N Charlottesville VA,100,PIEDMONT AVE N,-78.518737,38.0259344
1600 GREEN ST Charlottesville VA,1600,GREEN ST,-78.48110118821597,38.0161127798028
900 ROCK CREEK RD Charlottesville VA,900,ROCK CREEK RD,-78.49914894424953,38.02073674077786
700 WALKER SQ Charlottesville VA,700,WALKER SQ,-78.4921939734366,38.03006850209792
1400 FOREST RIDGE RD Charlottesville VA,1400,FOREST RIDGE RD,-78.49725136465952,38.025521711163734
800 STONEHENGE AVE Charlottesville VA,800,STONEHENGE AVE,-78.4810396266831,38.0181886910848
1800 JEFFERSON PARK AVE Charlottesville VA,1800,JEFFERSON PARK AVE,-78.50936317676832,38.02845373331133
400 RUBGY RD Charlottesville VA,400,RUBGY RD,-78.5011367,38.0405931
0 8TH ST NW Charlottesville VA,0,8TH ST NW,-78.48996020000001,38.0342601
0 GARRETT ST Charlottesville VA,0,GARRETT ST,-78.48107089999999,38.02726759999999
200 10TH ST NW Charlottesville VA,200,10TH ST NW,-78.49434370549163,38.03379703532478
100 MINIOR COURT LN Charlottesville VA,100,MINIOR COURT LN,-78.50057989999999,38.0348877
100 MINOR CT LN Charlottesville VA,100,MINOR CT LN,-78.50057989999999,38.0348877
100 12 1/2 ST NW Charlottesville VA,100,12 1/2 ST NW,-78.4852413381051,38.02362755323122
1200 CALHOUN ST Charlottesville VA,1200,CALHOUN ST,-78.46183239999999,38.039268
1100 CALHOUN ST Charlottesville VA,1100,CALHOUN ST,-78.4625686,38.0395672
600 PROSPECT AVE Charlottesville VA,600,PROSPECT AVE,-78.49527266994333,38.024911330339876
100 RIVERBLUFF CIR Charlottesville VA,100,RIVERBLUFF CIR,-78.45617628152877,38.0277764662742
100 BURNETT ST Charlottesville VA,100,BURNETT ST,-78.4875017139539,38.02510836496275
800 HARDY DRIVE Charlottesville VA,800,HARDY DRIVE,-78.4902161,38.0334203
1700 EMMET ST Charlottesville VA,1700,EMMET ST,-78.49353008127304,38.05859613591695
600 MCINTYRE RD Charlottesville VA,600,MCINTYRE RD,-78.4791576,38.0366831
500 1ST ST N Charlottesville VA,500,1ST ST N,-78.47997003400448,38.03430244194849
0 2ND ST NE Charlottesville VA,0,2ND ST NE,-78.4788289,38.0346517
1700 MONTICELLO AVE Charlottesville VA,1700,MONTICELLO AVE,-78.47512445176474,38.01585454935252
400 ARBOR CIR Charlottesville VA,400,ARBOR CIR,-78.4625129,38.0288455
1100 CHERRY AVE Charlottesville VA,1100,CHERRY AVE,-78.4989909625493,38.02766563030408
1400 BRIARCLIFF AVE Charlottesville VA,1400,BRIARCLIFF AVE,-78.4985676530309,38.02473135133155
0 E MARKET ST Charlottesville VA,0,E MARKET ST,-78.4673147,38.0259655
600 BLENHIEM AVE Charlottesville VA,600,BLENHIEM AVE,-78.4818195,38.0233234
1100 EDMOND COURT Charlottesville VA,1100,EDMOND COURT,-78.7152369,38.0702426
800 HINTON AVE Charlottesville VA,800,HINTON AVE,-78.47615910432629,38.02512384824524
1600 TRAINLRIDGE RD Charlottesville VA,1600,TRAINLRIDGE RD,-78.50341470000001,38.0210737
1600 ANTOINETTE AVE Charlottesville VA,1600,ANTOINETTE AVE,-78.5002782,38.0191626
1300 W HIGH ST Charlottesville VA,1300,W HIGH ST,-78.4653855,38.0318737
100 RAYMOND AVE Charlottesville VA,100,RAYMOND AVE,-78.51430742879384,38.02372949946401
1900 UNIVERSITY AVE Charlottesville VA,1900,UNIVERSITY AVE,-78.50294439999999,38.0365826
0 WEST LAWN Charlottesville VA,0,WEST LAWN,-78.504662,38.030846
1200 HARRIS ST Charlottesville VA,1200,HARRIS ST,-78.48153340296462,38.03923708662508
200 250 BYPASS Charlottesville VA,200,250 BYPASS,-78.47031255831125,38.03967316527461
400 OAKMONT ST Charlottesville VA,400,OAKMONT ST,-78.48557446459324,38.027651825305504
700 ROCKLAND AVE Charlottesville VA,700,ROCKLAND AVE,-78.48362685224942,38.018663891402525
0 15TH ST NW Charlottesville VA,0,15TH ST NW,-78.4985215,38.0381159
400 N EMMET ST Charlottesville VA,400,N EMMET ST,-78.5049512,38.043707
600 NORTHWOOD AVE Charlottesville VA,600,NORTHWOOD AVE,-78.4778691012434,38.03583056042932
500 DICE ST Charlottesville VA,500,DICE ST,-78.48882819822119,38.02877480270897
600 PARK ST Charlottesville VA,600,PARK ST,-78.47610659420715,38.03444798840382
200 44TH ST NW Charlottesville VA,200,44TH ST NW,-78.483058,38.029436
1600 OAKLEAF LN Charlottesville VA,1600,OAKLEAF LN,-78.4831458,38.0515974
2000 INDIA RD Charlottesville VA,2000,INDIA RD,-78.48715455608983,38.062445187984046
100 CAROLLTON TERRACE Charlottesville VA,100,CAROLLTON TERRACE,-78.5102634,38.0279958
100 HARTMAS MILL RD Charlottesville VA,100,HARTMAS MILL RD,-78.48872999999999,38.018352
1400 MOORES ST Charlottesville VA,1400,MOORES ST,-78.5123232935786,38.04167536781461
1600 RIALTO ST Charlottesville VA,1600,RIALTO ST,-78.4826077,38.0170458
1600 AMHERST ST Charlottesville VA,1600,AMHERST ST,-78.48662003520712,38.042923214820895
1500 JEFFERSON PARK AVE Charlottesville VA,1500,JEFFERSON PARK AVE,-78.50325851191758,38.031861693874205
100 WALKER ST Charlottesville VA,100,WALKER ST,-78.4808245,38.0343656
300 QUARRY RD Charlottesville VA,300,QUARRY RD,-78.47493867058019,38.01494818796487
2300 N BERKSHIRE RD Charlottesville VA,2300,N BERKSHIRE RD,-78.4962832968884,38.062740632139274
1500 E MARKET ST Charlottesville VA,1500,E MARKET ST,-78.4633639037567,38.02483728394007
700 ROUGEMONT AVE Charlottesville VA,700,ROUGEMONT AVE,-78.4820572,38.0153986
700 12ST NW Charlottesville VA,700,12ST NW,-78.493918,38.0403928
400 E JEFFERSON ST Charlottesville VA,400,E JEFFERSON ST,-78.47857433999272,38.032005668919915
400 LOCUST AVE Charlottesville VA,400,LOCUST AVE,-78.4712612684225,38.032094396906146
1500 GORDON AVE Charlottesville VA,1500,GORDON AVE,-78.49780761587132,38.039589906763865
300 MONTEBELLO CIR Charlottesville VA,300,MONTEBELLO CIR,-78.510424,38.0294551
1200 BELLVIEW AVE Charlottesville VA,1200,BELLVIEW AVE,-78.46239591934281,38.03877006846646
2300 E MAIN ST Charlottesville VA,2300,E MAIN ST,-78.4788691,38.0299573
600 MOSELEY DR Charlottesville VA,600,MOSELEY DR,-78.50789499999999,38.013835
400 MOSLEY DR Charlottesville VA,400,MOSLEY DR,-78.5098163,38.0182054
1200 BELLEVIEW AVE Charlottesville VA,1200,BELLEVIEW AVE,-78.46198217580124,38.038674215654176
400 14TH ST. N.W. Charlottesville VA,400,14TH ST. N.W.,-78.49747959999999,38.0381088
1300 KENWOOD LN Charlottesville VA,1300,KENWOOD LN,-78.4699018,38.0560009
1300 WELLFORD LN Charlottesville VA,1300,WELLFORD LN,-78.4864264,38.0484756
1300 RUGBY RD Charlottesville VA,1300,RUGBY RD,-78.49215655712865,38.048758514535024
1000 PAGE ST Charlottesville VA,1000,PAGE ST,-78.49343415582823,38.03486412037212
1000 KING ST Charlottesville VA,1000,KING ST,-78.49767035271952,38.0295528507494
900 E JEFFERSON ST Charlottesville VA,900,E JEFFERSON ST,-78.47393244183172,38.031035175959914
100 GREENBRIER TER Charlottesville VA,100,GREENBRIER TER,-78.4649629,38.0647274
600 5TH ST SW Charlottesville VA,600,5TH ST SW,-78.49054751960297,38.02730446956797
900 S 1ST ST Charlottesville VA,900,S 1ST ST,-78.48600074311477,38.02290599537981
400 11ST NW Charlottesville VA,400,11ST NW,-78.49417369999999,38.0376866
0 HARDY DRIVE Charlottesville VA,0,HARDY DRIVE,-78.4918955,38.0336614
200 18TH ST NE Charlottesville VA,200,18TH ST NE,-78.4620529,38.0241917
0 E MAIN ST Charlottesville VA,0,E MAIN ST,-78.47874639999999,38.0299444
900 WOODFOLK DR Charlottesville VA,900,WOODFOLK DR,-78.49171209466344,38.01928416655564
100 RUN ST Charlottesville VA,100,RUN ST,-78.5027464,38.0033381
2300 PRICE AVE Charlottesville VA,2300,PRICE AVE,-78.51773720145626,38.02737934320595
800 HILLCREST RD Charlottesville VA,800,HILLCREST RD,-78.47736970014226,38.04201287084301
200 W SOUTH ST Charlottesville VA,200,W SOUTH ST,-78.48246106924688,38.02956913693028
100 CARROLLTON TER Charlottesville VA,100,CARROLLTON TER,-78.51017011817778,38.02840971519214
700 RIVES ST Charlottesville VA,700,RIVES ST,-78.4685508,38.0199846
300 SHAMROCK RD Charlottesville VA,300,SHAMROCK RD,-78.50682619999999,38.0243212
400 MOSELY DR Charlottesville VA,400,MOSELY DR,-78.5098163,38.0182054
900 MONTICELLO RD Charlottesville VA,900,MONTICELLO RD,-78.47303281445562,38.02372399071174
200 2ND ST SW Charlottesville VA,200,2ND ST SW,-78.48293396002207,38.03007727941085
100 ROOSEVELT BROWN BLVD Charlottesville VA,100,ROOSEVELT BROWN BLVD,-78.48700983780373,38.03256046525233
400 GARRET ST Charlottesville VA,400,GARRET ST,-78.48017302333176,38.02746715877818
400 12TH ST NW Charlottesville VA,400,12TH ST NW,-78.49511409066069,38.037501451742884
500 MONROE LN Charlottesville VA,500,MONROE LN,-78.50301225687345,38.03055148651183
700 RAINER RD Charlottesville VA,700,RAINER RD,-78.50693206794335,38.019361127745164
1300 MIDLAND ST Charlottesville VA,1300,MIDLAND ST,-78.46846654589689,38.02061422627554
1800 JEFFERSON PARK APTS Charlottesville VA,1800,JEFFERSON PARK APTS,-78.5090309,38.028643
100 CAROLTON TERR Charlottesville VA,100,CAROLTON TERR,-78.5102634,38.0279958
100 4TH ST SE Charlottesville VA,100,4TH ST SE,-78.47937220141581,38.03047149259232
400 CARLTON RD Charlottesville VA,400,CARLTON RD,-78.47117366629904,38.020750923744785
1100 MYRTLE ST Charlottesville VA,1100,MYRTLE ST,-78.4714436869531,38.02413656656331
200 W HIGH ST Charlottesville VA,200,W HIGH ST,-78.4807810541996,38.03336061726611
900 COLEMAN ST Charlottesville VA,900,COLEMAN ST,-78.46063404545696,38.036071497111514
500 ROCKLAND AVE Charlottesville VA,500,ROCKLAND AVE,-78.48611487754839,38.01992054144128
100 MIDDLESEX DR Charlottesville VA,100,MIDDLESEX DR,-78.50304469999999,38.059445
1200 GORDON AVE Charlottesville VA,1200,GORDON AVE,-78.49503378627631,38.03879056510303
100 ROBINSON WOODS Charlottesville VA,100,ROBINSON WOODS,-78.4914038,38.0437566
1200 ST GEORGE AVE Charlottesville VA,1200,ST GEORGE AVE,-78.46135559999999,38.0396011
1000 LOCUST AVE Charlottesville VA,1000,LOCUST AVE,-78.46298234093376,38.03993533737487
2200 NORTH BERKSHIRE Charlottesville VA,2200,NORTH BERKSHIRE,-78.4977444,38.0635005
600 WILDER DR Charlottesville VA,600,WILDER DR,-78.46935599999999,38.043907
300 FAIRWAY AVE Charlottesville VA,300,FAIRWAY AVE,-78.4630275,38.0259801
10800 SEVEN OAKS CT Charlottesville VA,10800,SEVEN OAKS CT,-78.6503279,38.0373635
1400 LESTER DR Charlottesville VA,1400,LESTER DR,-78.47113056900744,38.05812903078792
800 BLENHEIM AVE Charlottesville VA,800,BLENHEIM AVE,-78.478701,38.021794
900 RAINIER RD Charlottesville VA,900,RAINIER RD,-78.50769425331714,38.021471155573245
900 E WATER ST Charlottesville VA,900,E WATER ST,-78.47380899175214,38.02801424396813
800 PARK ST Charlottesville VA,800,PARK ST,-78.47255805997136,38.04006395832761
800 ST CLAIR AVE Charlottesville VA,800,ST CLAIR AVE,-78.4669115,38.0346269
2200 ARLINGTON BLVD Charlottesville VA,2200,ARLINGTON BLVD,-78.5072332,38.0496024
300 MIDDLETON LN Charlottesville VA,300,MIDDLETON LN,-78.51656361796353,38.01286803123935
100 AZALEA DR Charlottesville VA,100,AZALEA DR,-78.5117261912869,38.016430165308755
1000 FOREST HILLS AVE Charlottesville VA,1000,FOREST HILLS AVE,-78.49576347495399,38.025099042980486
0 ALTAMONT CIR Charlottesville VA,0,ALTAMONT CIR,-78.48071019999999,38.0339597
500 PATON ST Charlottesville VA,500,PATON ST,-78.50248284197056,38.02670069292746
1800 WINSTON RD Charlottesville VA,1800,WINSTON RD,-78.49720478143009,38.04464170636411
100 HARTMANS MILL RD Charlottesville VA,100,HARTMANS MILL RD,-78.48872999999999,38.018352
600 GROVE AVE Charlottesville VA,600,GROVE AVE,-78.46924658289458,38.03320879901061
1000 E HIGH ST Charlottesville VA,1000,E HIGH ST,-78.48297427910684,38.03278785314015
1700 MEASOWBROOK HGTS Charlottesville VA,1700,MEASOWBROOK HGTS,-78.4800412,38.0591692
1100 N EMMET ST Charlottesville VA,1100,N EMMET ST,-78.49978170777898,38.05177579435734
0 NORTH BERKSHIRE RD Charlottesville VA,0,NORTH BERKSHIRE RD,-78.4977115,38.063458
500 DALE AVE Charlottesville VA,500,DALE AVE,-78.48423070002616,38.03475387716474
1500 CARLTON AVE LOT 44 Charlottesville VA,1500,CARLTON AVE LOT 44,-78.46450999999999,38.020727
2300 N BERSHIRE RD Charlottesville VA,2300,N BERSHIRE RD,-78.4966228,38.0625396
2100 ANGES RD Charlottesville VA,2100,ANGES RD,-78.4948469,38.0591843
100 PERRY DR Charlottesville VA,100,PERRY DR,-78.47847424191463,38.03606505611533
500 PRESTON AVE Charlottesville VA,500,PRESTON AVE,-78.48513098457022,38.034416647842185
300 SPRUCE ST Charlottesville VA,300,SPRUCE ST,-78.47136823561699,38.02550718640004
500 MONTICELLO AVE Charlottesville VA,500,MONTICELLO AVE,-78.48021227348357,38.02464731714426
100 OAK ST Charlottesville VA,100,OAK ST,-78.48405609999999,38.0263628
0 CHERRY AVE Charlottesville VA,0,CHERRY AVE,-78.48908870861965,38.026139840831874
600 MONTROSE AVE Charlottesville VA,600,MONTROSE AVE,-78.48240381263659,38.022818149302374
700 E MAIN ST Charlottesville VA,700,E MAIN ST,-78.48033762007844,38.03008844716435
300 WATER ST Charlottesville VA,300,WATER ST,-78.4803683,38.0295594
1200 MOWBRAY PL Charlottesville VA,1200,MOWBRAY PL,-78.4651487,38.0364398
2100 ARLINGTON BLVD Charlottesville VA,2100,ARLINGTON BLVD,-78.50608309185694,38.04969031481104
200 MCINTIRE RD Charlottesville VA,200,MCINTIRE RD,-78.4827634,38.0341554
2200 BANBURY ST Charlottesville VA,2200,BANBURY ST,-78.46883,38.0605772
900 CHERRY AVE Charlottesville VA,900,CHERRY AVE,-78.49507740158822,38.02908099927853
200 GLEASON ST Charlottesville VA,200,GLEASON ST,-78.4825202,38.0282366
700 ORANGDALE AVE Charlottesville VA,700,ORANGDALE AVE,-78.4954169,38.0246036
1200 W WATER ST Charlottesville VA,1200,W WATER ST,-78.4739676,38.0282279
1100 EMMETT ST Charlottesville VA,1100,EMMETT ST,-78.500306,38.0515337
600 FOREST ST Charlottesville VA,600,FOREST ST,-78.487756,38.0365895
0 9TH ST SE Charlottesville VA,0,9TH ST SE,-78.49476088566995,38.03302060439351
900 5TH ST SW Charlottesville VA,900,5TH ST SW,-78.49231410027105,38.023137119924414
100 W MIAN ST Charlottesville VA,100,W MIAN ST,-78.48183,38.030472
600 ELLIOT AVE Charlottesville VA,600,ELLIOT AVE,-78.48327916404193,38.02188767191807
400 MONTICELLO AVE Charlottesville VA,400,MONTICELLO AVE,-78.48424354591528,38.02828349986236
500 MOSELEY DR Charlottesville VA,500,MOSELEY DR,-78.5064725,38.0156218
1200 CEDARS COURT Charlottesville VA,1200,CEDARS COURT,-78.50121623150655,38.0554017891312
100 WESTERLY AVE Charlottesville VA,100,WESTERLY AVE,-78.52275625612356,38.026030834997016
1700 ROSE HILL DR Charlottesville VA,1700,ROSE HILL DR,-78.4830728,38.0523245
1500 BROAD AVE Charlottesville VA,1500,BROAD AVE,-78.50446387715962,38.02371083092828
2300 GLENN CT Charlottesville VA,2300,GLENN CT,-78.47131927974688,38.06929330411999
1100 RIVER VISTA AVE Charlottesville VA,1100,RIVER VISTA AVE,-78.4628487,38.038364
200 AZALEA DRIVE Charlottesville VA,200,AZALEA DRIVE,-78.51230869999999,38.013017
1100 MERIWETHER ST Charlottesville VA,1100,MERIWETHER ST,-78.46893589999999,38.0310327
1300 15TH ST NW Charlottesville VA,1300,15TH ST NW,-78.49696519999999,38.0408974
1000 HARRIS ST Charlottesville VA,1000,HARRIS ST,-78.48129149080664,38.0386260227305
100 MERIWETHER ST Charlottesville VA,100,MERIWETHER ST,-78.467671,38.0305871
500 COURT SQ Charlottesville VA,500,COURT SQ,-78.47736240974884,38.03170191967822
200 CLEVELAND AVE Charlottesville VA,200,CLEVELAND AVE,-78.51276506812395,38.02011538970057
900 STONEHENGE AVE Charlottesville VA,900,STONEHENGE AVE,-78.48032559107325,38.01725012348999
1500 UNIVERSITY Charlottesville VA,1500,UNIVERSITY,-78.5004787,38.0347522
700 PRESTON AVE Charlottesville VA,700,PRESTON AVE,-78.48658076543384,38.03556531752611
100 CHANCELLOR AVE Charlottesville VA,100,CHANCELLOR AVE,-78.5014644,38.0359935
200 E MARIN ST Charlottesville VA,200,E MARIN ST,-78.4807349,38.0305635
1000 FOREST HILLS RD Charlottesville VA,1000,FOREST HILLS RD,-78.4957235,38.0253238
NA 10TH ST NW Charlottesville VA,NA,10TH ST NW,-78.49226879999999,38.0373033
1300 RIVERDALE AVE Charlottesville VA,1300,RIVERDALE AVE,-78.46160126460197,38.034598039062864
700 SHAMROCK RD Charlottesville VA,700,SHAMROCK RD,-78.50348113590472,38.021732485948675
200 ROOSEVELT BROWN BLVD Charlottesville VA,200,ROOSEVELT BROWN BLVD,-78.49542699999999,38.0312839
100 DICE ST Charlottesville VA,100,DICE ST,-78.4840893,38.0274333
1600 6TH ST SE Charlottesville VA,1600,6TH ST SE,-78.48618868153224,38.01774340842604
1700 E MARKET ST Charlottesville VA,1700,E MARKET ST,-78.4593281487482,38.023341481711086
500 GARRETT ST Charlottesville VA,500,GARRETT ST,-78.47998519396279,38.02792444489808
1000 ALTIVISTA AVE Charlottesville VA,1000,ALTIVISTA AVE,-78.4771336,38.0180764
1100 LOCUST AVE Charlottesville VA,1100,LOCUST AVE,-78.46086488640795,38.043119047487764
900 SEMINOLE TRAIL Charlottesville VA,900,SEMINOLE TRAIL,-78.49144849999999,38.0624288
100 MONTA VISTA AVE Charlottesville VA,100,MONTA VISTA AVE,-78.5126709,38.0172698
700 ANDERSON ST Charlottesville VA,700,ANDERSON ST,-78.4884184,38.0342151
100 EMMETT ST S Charlottesville VA,100,EMMETT ST S,-78.5066445,38.0398051
100 CARLTON RD SUITE 201 Charlottesville VA,100,CARLTON RD SUITE 201,-78.468563,38.0266949
400 9TH ST SW Charlottesville VA,400,9TH ST SW,-78.49573238780977,38.0300843279036
700 STONEHIDGE AVE Charlottesville VA,700,STONEHIDGE AVE,-78.4823536,38.0186544
100 OLINDA AVE Charlottesville VA,100,OLINDA AVE,-78.4998293,38.023756
0 ROCKCREEK RD Charlottesville VA,0,ROCKCREEK RD,-78.4991407,38.0215724
1800 UNIVERSITY AVE Charlottesville VA,1800,UNIVERSITY AVE,-78.49978960649099,38.0347771765657
1100 FOREST HILLS AVE Charlottesville VA,1100,FOREST HILLS AVE,-78.49967265945733,38.025591220947874
100 LONGWOOD RD Charlottesville VA,100,LONGWOOD RD,-78.5044305,38.0153603
600 BAILY RD Charlottesville VA,600,BAILY RD,-78.49582995436108,38.02132198866575
100 MIMOSA DR Charlottesville VA,100,MIMOSA DR,-78.5218577,38.02648550000001
1000 E GROVE ST Charlottesville VA,1000,E GROVE ST,-78.49705999999999,38.029623
